id,person1,source,inscription,person2,target
54,Nikomedes,Abdera,D005,Nikomedes,Abdera
54,Nikomedes,Abdera,D005,Hermogenes,Abdera
55,Hermogenes,Abdera,D005,Nikomedes,Abdera
55,Hermogenes,Abdera,D005,Hermogenes,Abdera
102,Dionysios,Abdera,D008,Dionysios,Abdera
102,Dionysios,Abdera,D008,Archagoras,Abdera
103,Archagoras,Abdera,D008,Dionysios,Abdera
103,Archagoras,Abdera,D008,Archagoras,Abdera
714,Eukrates,Abdera,D022,Eukrates,Abdera
714,Eukrates,Abdera,D022,Apollodoro[s],Abdera
715,Apollodoro[s],Abdera,D022,Eukrates,Abdera
715,Apollodoro[s],Abdera,D022,Apollodoro[s],Abdera
54,Nikomedes,Abdera,D005,Lysias,Alabanda
54,Nikomedes,Abdera,D005,Prionios,Alabanda
55,Hermogenes,Abdera,D005,Lysias,Alabanda
55,Hermogenes,Abdera,D005,Prionios,Alabanda
54,Nikomedes,Abdera,D005,Hierokles,Bargylia
54,Nikomedes,Abdera,D005,Bryon,Bargylia
55,Hermogenes,Abdera,D005,Hierokles,Bargylia
55,Hermogenes,Abdera,D005,Bryon,Bargylia
54,Nikomedes,Abdera,D005,Theodotos,Ephesos
54,Nikomedes,Abdera,D005,Artemidoros ,Ephesos
54,Nikomedes,Abdera,D005,[A]pollodoros,Ephesos
55,Hermogenes,Abdera,D005,Theodotos,Ephesos
55,Hermogenes,Abdera,D005,Artemidoros ,Ephesos
55,Hermogenes,Abdera,D005,[A]pollodoros,Ephesos
102,Dionysios,Abdera,D008,Antipatros,Halikarnassos
102,Dionysios,Abdera,D008,Hierok[l]es,Halikarnassos
102,Dionysios,Abdera,D008,Antipatros,Halikarnassos
103,Archagoras,Abdera,D008,Antipatros,Halikarnassos
103,Archagoras,Abdera,D008,Hierok[l]es,Halikarnassos
103,Archagoras,Abdera,D008,Antipatros,Halikarnassos
54,Nikomedes,Abdera,D005,Billaros,Iasos
54,Nikomedes,Abdera,D005,Antileon,Iasos
55,Hermogenes,Abdera,D005,Billaros,Iasos
55,Hermogenes,Abdera,D005,Antileon,Iasos
714,Eukrates,Abdera,D022,Am[----,Kalchedon/Chalcedon
714,Eukrates,Abdera,D022,Filophanes,Kalchedon/Chalcedon
714,Eukrates,Abdera,D022,Diogenes,Kalchedon/Chalcedon
714,Eukrates,Abdera,D022,Pisikrates,Kalchedon/Chalcedon
715,Apollodoro[s],Abdera,D022,Am[----,Kalchedon/Chalcedon
715,Apollodoro[s],Abdera,D022,Filophanes,Kalchedon/Chalcedon
715,Apollodoro[s],Abdera,D022,Diogenes,Kalchedon/Chalcedon
715,Apollodoro[s],Abdera,D022,Pisikrates,Kalchedon/Chalcedon
54,Nikomedes,Abdera,D005,Antipatros,Kaunos
54,Nikomedes,Abdera,D005,Hermokrates,Kaunos
54,Nikomedes,Abdera,D005,Hermon,Kaunos
55,Hermogenes,Abdera,D005,Antipatros,Kaunos
55,Hermogenes,Abdera,D005,Hermokrates,Kaunos
55,Hermogenes,Abdera,D005,Hermon,Kaunos
714,Eukrates,Abdera,D022,[------]ion,Kaunos
714,Eukrates,Abdera,D022,Ly[….],Kaunos
715,Apollodoro[s],Abdera,D022,[------]ion,Kaunos
715,Apollodoro[s],Abdera,D022,Ly[….],Kaunos
102,Dionysios,Abdera,D008,Simon,Klazomenai
102,Dionysios,Abdera,D008,Asklepiades,Klazomenai
103,Archagoras,Abdera,D008,Simon,Klazomenai
103,Archagoras,Abdera,D008,Asklepiades,Klazomenai
714,Eukrates,Abdera,D022,Heragiton,Klazomenai
714,Eukrates,Abdera,D022,Telephanes,Klazomenai
714,Eukrates,Abdera,D022,Artemon,Klazomenai
715,Apollodoro[s],Abdera,D022,Heragiton,Klazomenai
715,Apollodoro[s],Abdera,D022,Telephanes,Klazomenai
715,Apollodoro[s],Abdera,D022,Artemon,Klazomenai
714,Eukrates,Abdera,D022,[------],Kolophon
714,Eukrates,Abdera,D022,[----]onios,Kolophon
715,Apollodoro[s],Abdera,D022,[------],Kolophon
715,Apollodoro[s],Abdera,D022,[----]onios,Kolophon
54,Nikomedes,Abdera,D005,Eukleides,Kos
54,Nikomedes,Abdera,D005,Agesikrates,Kos
54,Nikomedes,Abdera,D005,Apatourios,Kos
55,Hermogenes,Abdera,D005,Eukleides,Kos
55,Hermogenes,Abdera,D005,Agesikrates,Kos
55,Hermogenes,Abdera,D005,Apatourios,Kos
54,Nikomedes,Abdera,D005,Apollophanes,Kyme
54,Nikomedes,Abdera,D005,Theodoros,Kyme
55,Hermogenes,Abdera,D005,Apollophanes,Kyme
55,Hermogenes,Abdera,D005,Theodoros,Kyme
54,Nikomedes,Abdera,D005,Diodotos,Maroneia
54,Nikomedes,Abdera,D005,Dorkos,Maroneia
55,Hermogenes,Abdera,D005,Diodotos,Maroneia
55,Hermogenes,Abdera,D005,Dorkos,Maroneia
102,Dionysios,Abdera,D008,Epikrates,Maroneia
102,Dionysios,Abdera,D008,Aristobou[l]os,Maroneia
103,Archagoras,Abdera,D008,Epikrates,Maroneia
103,Archagoras,Abdera,D008,Aristobou[l]os,Maroneia
714,Eukrates,Abdera,D022,Thymetas,Methymna
714,Eukrates,Abdera,D022,[------],Methymna
714,Eukrates,Abdera,D022,[Pr]ytanis,Methymna
714,Eukrates,Abdera,D022,Pi[……],Methymna
715,Apollodoro[s],Abdera,D022,Thymetas,Methymna
715,Apollodoro[s],Abdera,D022,[------],Methymna
715,Apollodoro[s],Abdera,D022,[Pr]ytanis,Methymna
715,Apollodoro[s],Abdera,D022,Pi[……],Methymna
54,Nikomedes,Abdera,D005,Kallippos,Mytilene Lesbos
54,Nikomedes,Abdera,D005,Diophanes,Mytilene Lesbos
55,Hermogenes,Abdera,D005,Kallippos,Mytilene Lesbos
55,Hermogenes,Abdera,D005,Diophanes,Mytilene Lesbos
54,Nikomedes,Abdera,D005,Theokles,Naxos
54,Nikomedes,Abdera,D005,Sosik[- - - - - - - - - - - -],Naxos
55,Hermogenes,Abdera,D005,Theokles,Naxos
55,Hermogenes,Abdera,D005,Sosik[- - - - - - - - - - - -],Naxos
714,Eukrates,Abdera,D022,[------],Parium
714,Eukrates,Abdera,D022,[------,Parium
714,Eukrates,Abdera,D022,Polyd[…..],Parium
714,Eukrates,Abdera,D022,[---]ll[.]p[--- ,Parium
714,Eukrates,Abdera,D022,[---]p[---,Parium
714,Eukrates,Abdera,D022,[--]y[----,Parium
714,Eukrates,Abdera,D022,Polydoros,Parium
714,Eukrates,Abdera,D022,Strategos,Parium
715,Apollodoro[s],Abdera,D022,[------],Parium
715,Apollodoro[s],Abdera,D022,[------,Parium
715,Apollodoro[s],Abdera,D022,Polyd[…..],Parium
715,Apollodoro[s],Abdera,D022,[---]ll[.]p[--- ,Parium
715,Apollodoro[s],Abdera,D022,[---]p[---,Parium
715,Apollodoro[s],Abdera,D022,[--]y[----,Parium
715,Apollodoro[s],Abdera,D022,Polydoros,Parium
715,Apollodoro[s],Abdera,D022,Strategos,Parium
54,Nikomedes,Abdera,D005,Basileides ,Paros
54,Nikomedes,Abdera,D005,Hegekrates,Paros
54,Nikomedes,Abdera,D005,Demetrios ,Paros
55,Hermogenes,Abdera,D005,Basileides ,Paros
55,Hermogenes,Abdera,D005,Hegekrates,Paros
55,Hermogenes,Abdera,D005,Demetrios ,Paros
54,Nikomedes,Abdera,D005,Mandron,Pergamon
54,Nikomedes,Abdera,D005,Apollotimos,Pergamon
54,Nikomedes,Abdera,D005,Attalos,Pergamon
55,Hermogenes,Abdera,D005,Mandron,Pergamon
55,Hermogenes,Abdera,D005,Apollotimos,Pergamon
55,Hermogenes,Abdera,D005,Attalos,Pergamon
54,Nikomedes,Abdera,D005,Moschion,Priene
54,Nikomedes,Abdera,D005,Phileas,Priene
55,Hermogenes,Abdera,D005,Moschion,Priene
55,Hermogenes,Abdera,D005,Phileas,Priene
102,Dionysios,Abdera,D008,Theomnestos,Priene
102,Dionysios,Abdera,D008,Nymphon,Priene
103,Archagoras,Abdera,D008,Theomnestos,Priene
103,Archagoras,Abdera,D008,Nymphon,Priene
54,Nikomedes,Abdera,D005,Euaratos,Rhodes
54,Nikomedes,Abdera,D005,Timapolis,Rhodes
54,Nikomedes,Abdera,D005,Timapolios,Rhodes
54,Nikomedes,Abdera,D005,Philinnos,Rhodes
55,Hermogenes,Abdera,D005,Euaratos,Rhodes
55,Hermogenes,Abdera,D005,Timapolis,Rhodes
55,Hermogenes,Abdera,D005,Timapolios,Rhodes
55,Hermogenes,Abdera,D005,Philinnos,Rhodes
54,Nikomedes,Abdera,D005,Zoilos,Samos
54,Nikomedes,Abdera,D005,Philoxenos,Samos
54,Nikomedes,Abdera,D005,Theodektes,Samos
55,Hermogenes,Abdera,D005,Zoilos,Samos
55,Hermogenes,Abdera,D005,Philoxenos,Samos
55,Hermogenes,Abdera,D005,Theodektes,Samos
714,Eukrates,Abdera,D022,[---]atios,Samos
715,Apollodoro[s],Abdera,D022,[---]atios,Samos
54,Nikomedes,Abdera,D005,Le[tog]enos,Samothrace
55,Hermogenes,Abdera,D005,Le[tog]enos,Samothrace
54,Nikomedes,Abdera,D005,Chrysaor,Stratonikeia
54,Nikomedes,Abdera,D005,P[re]pon,Stratonikeia
54,Nikomedes,Abdera,D005,Zoilos,Stratonikeia
55,Hermogenes,Abdera,D005,Chrysaor,Stratonikeia
55,Hermogenes,Abdera,D005,P[re]pon,Stratonikeia
55,Hermogenes,Abdera,D005,Zoilos,Stratonikeia
714,Eukrates,Abdera,D022,Apollonios,Teos
715,Apollodoro[s],Abdera,D022,Apollonios,Teos
102,Dionysios,Abdera,D008,Demeas,Thasos
102,Dionysios,Abdera,D008,Phanoleos,Thasos
103,Archagoras,Abdera,D008,Demeas,Thasos
103,Archagoras,Abdera,D008,Phanoleos,Thasos
265,Theodosios,Abydos,D046,Theodosios,Abydos
417,Apollophanes,Abydos,D052,Apollophanes,Abydos
417,Apollophanes,Abydos,D052,Menedemos,Abydos
417,Apollophanes,Abydos,D052,Philinos,Abydos
417,Apollophanes,Abydos,D052,An[ti]machos,Abydos
417,Apollophanes,Abydos,D052,Apoll[on]ios,Abydos
417,Apollophanes,Abydos,D052,Andronikos,Abydos
417,Apollophanes,Abydos,D052,Theon,Abydos
417,Apollophanes,Abydos,D052,[He]rmon,Abydos
417,Apollophanes,Abydos,D052,Kerdon,Abydos
417,Apollophanes,Abydos,D052,Euemeros,Abydos
417,Apollophanes,Abydos,D052,Bi[th]us,Abydos
417,Apollophanes,Abydos,D052,Posideos,Abydos
417,Apollophanes,Abydos,D052,Op[t]es?,Abydos
418,Menedemos,Abydos,D052,Apollophanes,Abydos
418,Menedemos,Abydos,D052,Menedemos,Abydos
418,Menedemos,Abydos,D052,Philinos,Abydos
418,Menedemos,Abydos,D052,An[ti]machos,Abydos
418,Menedemos,Abydos,D052,Apoll[on]ios,Abydos
418,Menedemos,Abydos,D052,Andronikos,Abydos
418,Menedemos,Abydos,D052,Theon,Abydos
418,Menedemos,Abydos,D052,[He]rmon,Abydos
418,Menedemos,Abydos,D052,Kerdon,Abydos
418,Menedemos,Abydos,D052,Euemeros,Abydos
418,Menedemos,Abydos,D052,Bi[th]us,Abydos
418,Menedemos,Abydos,D052,Posideos,Abydos
418,Menedemos,Abydos,D052,Op[t]es?,Abydos
419,Philinos,Abydos,D052,Apollophanes,Abydos
419,Philinos,Abydos,D052,Menedemos,Abydos
419,Philinos,Abydos,D052,Philinos,Abydos
419,Philinos,Abydos,D052,An[ti]machos,Abydos
419,Philinos,Abydos,D052,Apoll[on]ios,Abydos
419,Philinos,Abydos,D052,Andronikos,Abydos
419,Philinos,Abydos,D052,Theon,Abydos
419,Philinos,Abydos,D052,[He]rmon,Abydos
419,Philinos,Abydos,D052,Kerdon,Abydos
419,Philinos,Abydos,D052,Euemeros,Abydos
419,Philinos,Abydos,D052,Bi[th]us,Abydos
419,Philinos,Abydos,D052,Posideos,Abydos
419,Philinos,Abydos,D052,Op[t]es?,Abydos
420,An[ti]machos,Abydos,D052,Apollophanes,Abydos
420,An[ti]machos,Abydos,D052,Menedemos,Abydos
420,An[ti]machos,Abydos,D052,Philinos,Abydos
420,An[ti]machos,Abydos,D052,An[ti]machos,Abydos
420,An[ti]machos,Abydos,D052,Apoll[on]ios,Abydos
420,An[ti]machos,Abydos,D052,Andronikos,Abydos
420,An[ti]machos,Abydos,D052,Theon,Abydos
420,An[ti]machos,Abydos,D052,[He]rmon,Abydos
420,An[ti]machos,Abydos,D052,Kerdon,Abydos
420,An[ti]machos,Abydos,D052,Euemeros,Abydos
420,An[ti]machos,Abydos,D052,Bi[th]us,Abydos
420,An[ti]machos,Abydos,D052,Posideos,Abydos
420,An[ti]machos,Abydos,D052,Op[t]es?,Abydos
421,Apoll[on]ios,Abydos,D052,Apollophanes,Abydos
421,Apoll[on]ios,Abydos,D052,Menedemos,Abydos
421,Apoll[on]ios,Abydos,D052,Philinos,Abydos
421,Apoll[on]ios,Abydos,D052,An[ti]machos,Abydos
421,Apoll[on]ios,Abydos,D052,Apoll[on]ios,Abydos
421,Apoll[on]ios,Abydos,D052,Andronikos,Abydos
421,Apoll[on]ios,Abydos,D052,Theon,Abydos
421,Apoll[on]ios,Abydos,D052,[He]rmon,Abydos
421,Apoll[on]ios,Abydos,D052,Kerdon,Abydos
421,Apoll[on]ios,Abydos,D052,Euemeros,Abydos
421,Apoll[on]ios,Abydos,D052,Bi[th]us,Abydos
421,Apoll[on]ios,Abydos,D052,Posideos,Abydos
421,Apoll[on]ios,Abydos,D052,Op[t]es?,Abydos
422,Andronikos,Abydos,D052,Apollophanes,Abydos
422,Andronikos,Abydos,D052,Menedemos,Abydos
422,Andronikos,Abydos,D052,Philinos,Abydos
422,Andronikos,Abydos,D052,An[ti]machos,Abydos
422,Andronikos,Abydos,D052,Apoll[on]ios,Abydos
422,Andronikos,Abydos,D052,Andronikos,Abydos
422,Andronikos,Abydos,D052,Theon,Abydos
422,Andronikos,Abydos,D052,[He]rmon,Abydos
422,Andronikos,Abydos,D052,Kerdon,Abydos
422,Andronikos,Abydos,D052,Euemeros,Abydos
422,Andronikos,Abydos,D052,Bi[th]us,Abydos
422,Andronikos,Abydos,D052,Posideos,Abydos
422,Andronikos,Abydos,D052,Op[t]es?,Abydos
423,Theon,Abydos,D052,Apollophanes,Abydos
423,Theon,Abydos,D052,Menedemos,Abydos
423,Theon,Abydos,D052,Philinos,Abydos
423,Theon,Abydos,D052,An[ti]machos,Abydos
423,Theon,Abydos,D052,Apoll[on]ios,Abydos
423,Theon,Abydos,D052,Andronikos,Abydos
423,Theon,Abydos,D052,Theon,Abydos
423,Theon,Abydos,D052,[He]rmon,Abydos
423,Theon,Abydos,D052,Kerdon,Abydos
423,Theon,Abydos,D052,Euemeros,Abydos
423,Theon,Abydos,D052,Bi[th]us,Abydos
423,Theon,Abydos,D052,Posideos,Abydos
423,Theon,Abydos,D052,Op[t]es?,Abydos
424,[He]rmon,Abydos,D052,Apollophanes,Abydos
424,[He]rmon,Abydos,D052,Menedemos,Abydos
424,[He]rmon,Abydos,D052,Philinos,Abydos
424,[He]rmon,Abydos,D052,An[ti]machos,Abydos
424,[He]rmon,Abydos,D052,Apoll[on]ios,Abydos
424,[He]rmon,Abydos,D052,Andronikos,Abydos
424,[He]rmon,Abydos,D052,Theon,Abydos
424,[He]rmon,Abydos,D052,[He]rmon,Abydos
424,[He]rmon,Abydos,D052,Kerdon,Abydos
424,[He]rmon,Abydos,D052,Euemeros,Abydos
424,[He]rmon,Abydos,D052,Bi[th]us,Abydos
424,[He]rmon,Abydos,D052,Posideos,Abydos
424,[He]rmon,Abydos,D052,Op[t]es?,Abydos
425,Kerdon,Abydos,D052,Apollophanes,Abydos
425,Kerdon,Abydos,D052,Menedemos,Abydos
425,Kerdon,Abydos,D052,Philinos,Abydos
425,Kerdon,Abydos,D052,An[ti]machos,Abydos
425,Kerdon,Abydos,D052,Apoll[on]ios,Abydos
425,Kerdon,Abydos,D052,Andronikos,Abydos
425,Kerdon,Abydos,D052,Theon,Abydos
425,Kerdon,Abydos,D052,[He]rmon,Abydos
425,Kerdon,Abydos,D052,Kerdon,Abydos
425,Kerdon,Abydos,D052,Euemeros,Abydos
425,Kerdon,Abydos,D052,Bi[th]us,Abydos
425,Kerdon,Abydos,D052,Posideos,Abydos
425,Kerdon,Abydos,D052,Op[t]es?,Abydos
426,Euemeros,Abydos,D052,Apollophanes,Abydos
426,Euemeros,Abydos,D052,Menedemos,Abydos
426,Euemeros,Abydos,D052,Philinos,Abydos
426,Euemeros,Abydos,D052,An[ti]machos,Abydos
426,Euemeros,Abydos,D052,Apoll[on]ios,Abydos
426,Euemeros,Abydos,D052,Andronikos,Abydos
426,Euemeros,Abydos,D052,Theon,Abydos
426,Euemeros,Abydos,D052,[He]rmon,Abydos
426,Euemeros,Abydos,D052,Kerdon,Abydos
426,Euemeros,Abydos,D052,Euemeros,Abydos
426,Euemeros,Abydos,D052,Bi[th]us,Abydos
426,Euemeros,Abydos,D052,Posideos,Abydos
426,Euemeros,Abydos,D052,Op[t]es?,Abydos
427,Bi[th]us,Abydos,D052,Apollophanes,Abydos
427,Bi[th]us,Abydos,D052,Menedemos,Abydos
427,Bi[th]us,Abydos,D052,Philinos,Abydos
427,Bi[th]us,Abydos,D052,An[ti]machos,Abydos
427,Bi[th]us,Abydos,D052,Apoll[on]ios,Abydos
427,Bi[th]us,Abydos,D052,Andronikos,Abydos
427,Bi[th]us,Abydos,D052,Theon,Abydos
427,Bi[th]us,Abydos,D052,[He]rmon,Abydos
427,Bi[th]us,Abydos,D052,Kerdon,Abydos
427,Bi[th]us,Abydos,D052,Euemeros,Abydos
427,Bi[th]us,Abydos,D052,Bi[th]us,Abydos
427,Bi[th]us,Abydos,D052,Posideos,Abydos
427,Bi[th]us,Abydos,D052,Op[t]es?,Abydos
428,Posideos,Abydos,D052,Apollophanes,Abydos
428,Posideos,Abydos,D052,Menedemos,Abydos
428,Posideos,Abydos,D052,Philinos,Abydos
428,Posideos,Abydos,D052,An[ti]machos,Abydos
428,Posideos,Abydos,D052,Apoll[on]ios,Abydos
428,Posideos,Abydos,D052,Andronikos,Abydos
428,Posideos,Abydos,D052,Theon,Abydos
428,Posideos,Abydos,D052,[He]rmon,Abydos
428,Posideos,Abydos,D052,Kerdon,Abydos
428,Posideos,Abydos,D052,Euemeros,Abydos
428,Posideos,Abydos,D052,Bi[th]us,Abydos
428,Posideos,Abydos,D052,Posideos,Abydos
428,Posideos,Abydos,D052,Op[t]es?,Abydos
429,Op[t]es?,Abydos,D052,Apollophanes,Abydos
429,Op[t]es?,Abydos,D052,Menedemos,Abydos
429,Op[t]es?,Abydos,D052,Philinos,Abydos
429,Op[t]es?,Abydos,D052,An[ti]machos,Abydos
429,Op[t]es?,Abydos,D052,Apoll[on]ios,Abydos
429,Op[t]es?,Abydos,D052,Andronikos,Abydos
429,Op[t]es?,Abydos,D052,Theon,Abydos
429,Op[t]es?,Abydos,D052,[He]rmon,Abydos
429,Op[t]es?,Abydos,D052,Kerdon,Abydos
429,Op[t]es?,Abydos,D052,Euemeros,Abydos
429,Op[t]es?,Abydos,D052,Bi[th]us,Abydos
429,Op[t]es?,Abydos,D052,Posideos,Abydos
429,Op[t]es?,Abydos,D052,Op[t]es?,Abydos
265,Theodosios,Abydos,D046,[-----]v,Odessos
265,Theodosios,Abydos,D046,Gaios Aurelios,Odessos
265,Theodosios,Abydos,D046,Agathonumos,Odessos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Nikogenes,"Aigai (Cilicia, per Robert)"
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,[Epigonos],"Aigai (Cilicia, per Robert)"
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Nikogenes,"Aigai (Cilicia, per Robert)"
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,[Epigonos],"Aigai (Cilicia, per Robert)"
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Dionusios,"Aigai (Cilicia, per Robert)"
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Didumos,Alexandria
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Kron[i]os,Alexandria
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Demetrios,Alexandria
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Preimos,Alexandria
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Antiphilos,Byzantion
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Menemachos,Byzantion
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Philokrates,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Diophantos,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Nikia[s],Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,M[….],Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,S[um]machos,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Mentor,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Dionysios,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Themison,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Ariston,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Theodoros,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Diophantos,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Gorgias,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Philokrates,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Diophantos,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Nikia[s],Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,M[….],Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,S[um]machos,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Mentor,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Dionysios,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Themison,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Ariston,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Theodoros,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Diophantos,Chios Ins.
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Gorgias,Chios Ins.
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,[Z]opuros,Dardanos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Aisimos,Dardanos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,[Z]opuros,Dardanos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Aisimos,Dardanos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Agesimenes,Eresos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Protion,Eresos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Agesimenes,Eresos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Protion,Eresos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Hierokles,Halikarnassos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Nikogenes,Kyzikos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Maiandrios,Kyzikos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Nikogenes,Kyzikos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Maiandrios,Kyzikos
448,Dionusios,"Aigai (Cilicia, per Robert)",D053,Alexandros,Magnesia ad Maeandrum/Leukophrys
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,[A]gath[o]stratos,Myrina Lemnos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,[Ph]i[li]ppos,Myrina Lemnos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,[A]gath[o]stratos,Myrina Lemnos
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,[Ph]i[li]ppos,Myrina Lemnos
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Theodoros,Nysa
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Theodoros,Nysa
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,Dionysios,Phokaia
108,Nikogenes,"Aigai (Cilicia, per Robert)",D009,[..].DI.OS,Phokaia
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,Dionysios,Phokaia
109,[Epigonos],"Aigai (Cilicia, per Robert)",D009,[..].DI.OS,Phokaia
