individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
715,Abdera,40.982,24.9523,Apollodoro[s],Pythod[----],D022,-250,,
54,Abdera,40.982,24.9523,Nikomedes,Diodorou,D005,-150,-145,proxenos
54,Abdera,40.982,24.9523,Nikomedes,Diodorou,D005,-150,-145,theoros
102,Abdera,40.982,24.9523,Dionysios,Dio[n]ysiou,D008,-200,-101,proxenos
55,Abdera,40.982,24.9523,Hermogenes,Agathokleious,D005,-150,-145,proxenos
102,Abdera,40.982,24.9523,Dionysios,Dio[n]ysiou,D008,-200,-101,theoros
55,Abdera,40.982,24.9523,Hermogenes,Agathokleious,D005,-150,-145,theoros
103,Abdera,40.982,24.9523,Archagoras,Aristono[u],D008,-200,-101,proxenos
714,Abdera,40.982,24.9523,Eukrates,Herakleidou,D022,-250,,
103,Abdera,40.982,24.9523,Archagoras,Aristono[u],D008,-200,-101,theoros
428,Abydos,40.1957,26.4039,Posideos,Leontidos,D052,,,mystes
423,Abydos,40.1957,26.4039,Theon,Demetriou,D052,,,mystes
418,Abydos,40.1957,26.4039,Menedemos,Menedemou,D052,,,mystes
429,Abydos,40.1957,26.4039,Op[t]es?,Meniskou,D052,,,mystes
424,Abydos,40.1957,26.4039,[He]rmon,Demetriou,D052,,,mystes
419,Abydos,40.1957,26.4039,Philinos,Philinou,D052,,,mystes
425,Abydos,40.1957,26.4039,Kerdon,[A]n[t]imachou,D052,,,mystes
420,Abydos,40.1957,26.4039,An[ti]machos,N[ei]konos,D052,,,mystes
426,Abydos,40.1957,26.4039,Euemeros,Leon[t]idos,D052,,,mystes
421,Abydos,40.1957,26.4039,Apoll[on]ios,De[m]eou,D052,,,mystes
265,Abydos,40.1957,26.4039,Theodosios,Menoikeos,D046,40,45,mystes
427,Abydos,40.1957,26.4039,Bi[th]us,Leontidos,D052,,,mystes
422,Abydos,40.1957,26.4039,Andronikos,Apolloniou,D052,,,mystes
417,Abydos,40.1957,26.4039,Apollophanes,Diodorou,D052,,,mystes
448,"Aigai (Cilicia, per Robert)",36.7686,35.7866,Dionusios,,D053,-200,200,
108,"Aigai (Cilicia, per Robert)",36.7686,35.7866,Nikogenes,Hermogenou (Neoteros),D009,-200,-101,proxenos
108,"Aigai (Cilicia, per Robert)",36.7686,35.7866,Nikogenes,Hermogenou (Neoteros),D009,-200,-101,theoros
109,"Aigai (Cilicia, per Robert)",36.7686,35.7866,[Epigonos],[..]ONATOU,D009,-200,-101,proxenos
109,"Aigai (Cilicia, per Robert)",36.7686,35.7866,[Epigonos],[..]ONATOU,D009,-200,-101,theoros
246,Ainos,40.724899,26.085729,[------]pe,Nikonos,D044,,,mystes
241,Ainos,40.724899,26.085729,,Demetriou,D042,-100,100,mystes
247,Ainos,40.724899,26.085729,[------] ion,Antiphontos,D044,,,mystes
242,Ainos,40.724899,26.085729,,Ro?uphou[-?-],D043,1,300,mystes
